Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
27000,0.730175,0.7851521,67.34258,-0.414672,0.00013961173,-0.20542905131878797,274.0,1.6218975447118282,0.40198391303420067,223.4329128265381,3.7768855,0.16303483,0.12946886,0.331862,1.3446097,0.4543229,0.5331418,0.015171204
27500,0.7711445,0.8920705,65.80763,-0.4499479,0.00013646853,1.6046760968577776,159.66666666666666,0.6953181861899793,0.7795712240040302,127.68154191970825,5.218422,0.29020107,0.16320102,0.23825654,1.2127272,0.42622992,0.60229903,0.014901642
28000,0.6144948,0.686977,70.35816,-0.48056716,0.00013346679,1.563476452982286,130.0,1.5634764861315489,0.3156589660793543,77.59350490570068,1.2250811,0.2612169,0.15977585,0.30878028,1.4546447,0.4704807,0.48752382,0.014850779
28500,0.39230636,0.5624294,69.27383,-0.512972,0.00013055131,1.5722337543120375,384.0,1.5722338054329157,1.4930668622255325,225.91358280181885,3.3128412,0.22616285,0.2684421,0.14623836,1.2308738,0.42606974,0.5527475,0.014681261
29000,0.53159624,1.0773702,66.417274,-0.5417456,0.00012748483,0.7550693779066933,248.0,0.42939680721610785,2.559426426887512,213.85936387379965,18.772472,0.24232101,0.25242823,0.20258814,1.3016754,0.415146,0.598312,0.014631645
29500,0.44129947,0.9646038,71.839645,-0.56999815,0.0001244787,1.34955101567175,315.0,1.5408190535381436,0.821992252022028,141.47273445129395,6.502191,0.16912015,0.14643875,0.17121057,1.527037,0.47982705,0.49418804,0.014373665
30000,0.36037475,0.8643044,70.2518,-0.6037738,0.000121470744,1.2024900454598537,239.0,1.2024900172837079,0.864095214754343,179.47228574752808,2.02805,0.28394002,0.15688789,0.17817606,1.3559055,0.46540746,0.5273704,0.014465243
30500,0.32848936,0.68530625,72.44293,-0.63318884,0.00011854715,1.128794204640144,480.0,1.128794283606112,2.0765852630138397,341.23774337768555,1.8450484,0.22338295,0.17961162,0.12315118,1.1413429,0.40236092,0.59768355,0.014221982
31000,0.44686344,0.64319235,71.76922,-0.6621347,0.000115445946,1.5382775665275403,474.0,1.5382775971665978,1.568840466439724,269.98672676086426,3.0357656,0.31223285,0.19666561,0.26236343,1.1188791,0.39840305,0.6135924,0.014311306
31500,0.6077951,0.8539294,66.34784,-0.69080013,0.00011236174,-2.060666659286653,537.0,-2.0606666281819344,2.169262357056141,281.29119873046875,3.9816594,0.2866402,0.17097442,0.19195853,0.95001847,0.33983618,0.652424,0.014157705
